product_id;producttitel;seo_titel;meta_description
12038837764360;CONGRATULATIONS PARTY;Blond Amsterdam beker Congratulations Party | Tante Rie;XL beker van 0,5 liter van Blond Amsterdam met teksten als Happy Hour en Let's Party. Voor wie wel van een feestje houdt. Af te halen in Borne.
12038838026504;MISS CREATIVITY;Blond Amsterdam XL beker Miss Creativity | Tante Rie;XL beker van Blond Amsterdam voor wie graag knutselt, schildert of iets maakt. Vrolijk geïllustreerd en groot genoeg voor een flinke kop thee.
12038838321416;BEST FRIEND;Blond Amsterdam XL beker Best Friend | Tante Rie;XL beker van Blond Amsterdam voor je beste vriendin, met teksten als You're my cup of tea en We belong together. Af te halen in Borne.
12038839271688;GAME ON;Blond Amsterdam mazagran Game On | Tante Rie;Mazagran van Blond Amsterdam voor wie van spelletjes houdt, met Scrabble en andere klassiekers erop. Warm drankje erin en spelen maar.
12039138509064;ED: BORD 18 CM TOMPOUCE;Blond Amsterdam bordje 18 cm tompouce | Tante Rie;Ontbijt- en gebaksbordje van 18 cm uit de Everyday collectie van Blond Amsterdam, met een tompouce erop. Voor een stukje taart bij de thee.
12039138803976;COZY DAYS: LIGHT HOUSE STEPPED GABLE COZY;Blond Amsterdam lichthuisje trapgevel Cozy | Tante Rie;Lichthuisje met trapgevel van Blond Amsterdam, met getekende huiselijke tafereeltjes. Met een lichtje erin wordt het meteen gezellig binnen.
12039798096136;MAMA;Blond Amsterdam XL beker Mama | Tante Rie;XL beker Mama van Blond Amsterdam, voor moeder, bonusmoeder, oma of oppas. Kleurrijk getekend, met Thanks for helping me grow. Af te halen in Borne.
12039798882568;THE MAN;Blond Amsterdam XL beker The Man | Tante Rie;XL beker van Blond Amsterdam voor de man die van sport, de bbq en gadgets houdt. Voor vader, bonuspapa, opa of buurman. Af te halen in Borne.
12039801569544;I DO;Blond Amsterdam mazagran I Do | Tante Rie;Mazagran van 0,5 liter van Blond Amsterdam met ringen, bloemen en taart. Een leuk cadeau voor een bruiloft, verloving of jubileum.
12039806091528;MISS BRAINS;Blond Amsterdam XL beker Miss Brains | Tante Rie;XL beker van Blond Amsterdam voor wie geslaagd is of iets knaps heeft gedaan, met een avocado en een rubiks kubus erop. Af te halen in Borne.
12053405663496;Tijd voor thee - Gefeliciteerd;Tijd voor thee Gefeliciteerd theecadeau | Tante Rie;Koker met een houten theelepeltje en een zakje losse thee, met de wens gefeliciteerd. Een klein cadeau voor een verjaardag of een ander feestje.
12053410611464;Tijd voor thee - veel liefs;Tijd voor thee Veel liefs theecadeau | Tante Rie;Koker met een houten theelepeltje en een zakje losse thee, met de wens veel liefs. Een lief klein cadeautje voor iemand die je wilt verrassen.
12053415887112;Tijd voor thee - Dankjewel;Tijd voor thee Dankjewel theecadeau | Tante Rie;Koker met een houten theelepeltje en een zakje losse thee, met de tekst dankjewel. Een klein bedankje voor de juf, buurvrouw of collega.
12053421981960;Tijd voor thee - lieve zus;Tijd voor thee Lieve zus theecadeau | Tante Rie;Koker met een houten theelepeltje en een zakje losse thee, met de wens voor mijn lieve zus. Een klein cadeau om even aan haar te denken.
12053426602248;Tijd voor thee - nieuw huis;Tijd voor thee Nieuw huis theecadeau | Tante Rie;Koker met een houten theelepeltje en losse thee, met de wens dat het nieuwe huis een heerlijk thuis mag zijn. Leuk voor een housewarming.
12053430599944;Tijd voor thee - Bedankt;Tijd voor thee Bedankt theecadeau | Tante Rie;Koker met een houten theelepeltje en een zakje losse thee, met de tekst bedankt. Een klein en persoonlijk bedankje met thee erin.
12053432893704;Tijd voor thee - jij bent goud waard;Tijd voor thee Jij bent goud waard theecadeau | Tante Rie;Koker met een houten theelepeltje en een zakje losse thee, met de tekst jij bent goud waard. Voor iemand die altijd voor je klaarstaat.
12053522612488;Theelepel bolvorm;Theelepel bolvorm | Tante Rie;Theelepel met een ronde bol aan het uiteinde. Handig om je thee mee te roeren terwijl hij trekt. Ook leuk als klein cadeautje bij een zakje thee.
12053533491464;Autoparfum - koning van de snelweg;Autoparfum Koning van de snelweg | Tante Rie;Geurtablet in een zwarte houder, die je met een magneet aan het ventilatierooster van je auto klikt. In een cadeaudoosje voor de koning van de snelweg.
12053621145864;Geurstokje - Gefeliciteerd;Geurstokjes Gefeliciteerd 200 ml | Tante Rie;Geurolie van 200 ml met houten stokjes en een houten hartje, voor een fijne geur in huis. Met de boodschap gefeliciteerd, dus een leuk cadeau.
12053639594248;Geurstokje - Voor jou;Geurstokjes Voor jou 200 ml | Tante Rie;Geurolie van 200 ml met houten stokjes en een houten hartje, voor een fijne geur in huis. Met de boodschap voor jou. Te koop bij Tante Rie.
12053673214216;Thee en een mooi gesprek - hoera;Thee en een mooi gesprek Hoera | Tante Rie;Voorraadpotje met houten lepeltje, thee-ei, een zakje losse thee en 25 vraagkaartjes voor een goed gesprek bij de thee. Met de boodschap hoera.
12053677736200;Thee en een mooi gesprek - warme groet;Thee en een mooi gesprek Warme groet | Tante Rie;Voorraadpotje met houten lepeltje, thee-ei, losse thee en 25 vraagkaartjes voor een goed gesprek bij een kopje thee. Met een warme groet.
